30

2 0 1440 80640 246240 34560
1 0 43200 237600 82080 0
1 0 28800 230400 103680 0
2 0 0 151200 211680 0
1 0 0 362880 0 0

2 20 2000 53660 235200 72000
2 0 1440 54720 234720 72000
2 0 1440 44640 230400 86400
2 0 1440 45360 229680 86400
2 0 720 35280 226080 100800
1 120 18600 180960 163200 0
1 240 14880 162480 185280 0
1 0 15120 162000 185760 0
1 240 12960 141840 207840 0
1 0 11520 120960 230400 0
2 0 2400 88800 242880 28800
2 0 2160 74160 243360 43200
2 0 2880 59040 243360 57600
1 0 21600 224640 116640 0
1 0 19200 197760 145920 0
2 0 0 110880 252000 0
1 0 0 362880 0 0

2 24 2448 56136 235152 69120
2 0 672 43680 237888 80640
2 0 1008 43200 240912 77760
2 0 288 28080 248112 86400
1 0 15360 173280 174240 0
1 144 14880 157776 190080 0
1 432 16416 159408 186624 0
1 96 11376 146064 205344 0
1 0 6912 132480 223488 0
2 0 480 74400 253440 34560
2 0 2592 68400 240048 51840
2 0 1728 61920 230112 69120
1 0 10800 218160 133920 0
1 0 19200 176640 167040 0
2 0 0 90720 272160 0
1 0 0 362880 0 0

2 32 2528 43328 224832 92160
2 0 1440 44640 230400 86400
2 0 2880 48960 218880 92160
1 0 8160 154080 200640 0
1 96 10080 135744 216960 0
1 0 7776 142560 212544 0
1 192 12288 122688 227712 0
1 768 15744 106752 239616 0
2 0 480 56160 260160 46080
2 0 1152 51840 240768 69120
2 0 2880 48960 218880 92160
1 0 8640 198720 155520 0
1 0 14400 156480 192000 0
2 0 0 80640 282240 0
1 0 0 362880 0 0

2 36 2196 43704 239184 77760
2 0 864 38880 245376 77760
1 0 5760 146880 210240 0
1 0 10224 130320 222336 0
1 108 6804 140832 215136 0
1 288 12096 124992 225504 0
1 0 11520 120960 230400 0
2 0 0 46080 264960 51840
2 0 1152 47520 236448 77760
2 0 2592 51840 204768 103680
1 0 4320 190080 168480 0
1 0 14400 141120 207360 0
2 0 0 70560 292320 0
1 0 0 362880 0 0

2 144 6192 66816 220608 69120
1 0 2160 121680 239040 0
1 0 7488 103680 251712 0
1 0 2592 116640 243648 0
1 144 10512 105696 246528 0
1 1152 20736 119808 221184 0
2 0 0 31680 262080 69120
2 0 432 36720 222048 103680
2 0 2880 43200 178560 138240
1 0 2160 170640 190080 0
1 0 11520 120960 230400 0
2 0 0 60480 302400 0
1 0 0 362880 0 0

2 120 11400 135360 201600 14400
2 0 5280 107040 227520 23040
2 0 4320 99360 233280 25920
2 0 1440 78720 248160 34560
2 0 0 57600 259200 46080
1 2400 69600 230400 60480 0
1 720 45360 233280 83520 0
1 0 28800 230400 103680 0
2 0 21600 194400 146880 0
2 0 9600 177600 175680 0
1 0 100800 262080 0 0
2 0 0 362880 0 0

2 48 3552 84528 237888 36864
2 0 3888 81648 235872 41472
2 0 2880 63264 241440 55296
2 0 2304 47232 239616 73728
1 480 42720 233280 86400 0
1 576 31680 212544 118080 0
1 576 23328 193824 145152 0
2 0 8640 168480 185760 0
2 0 7680 136320 218880 0
1 0 70560 292320 0 0
2 0 0 362880 0 0

2 108 5076 81216 229824 46656
2 0 1728 67392 231552 62208
2 0 0 55296 224640 82944
1 0 34560 233280 95040 0
1 864 30240 202176 129600 0
1 0 26784 177120 158976 0
2 0 4320 159840 198720 0
2 0 8640 120960 233280 0
1 0 60480 302400 0 0
2 0 0 362880 0 0

2 48 3504 55968 220416 82944
2 0 3456 50688 198144 110592
1 0 22080 225600 115200 0
1 288 22320 184752 155520 0
1 864 22752 150336 188928 0
2 0 2160 140400 220320 0
2 0 6720 100800 255360 0
1 0 50400 312480 0 0
2 0 0 362880 0 0

2 384 7680 53760 153600 147456
1 0 11520 213120 138240 0
1 0 17280 161280 184320 0
1 1152 20736 119808 221184 0
2 0 0 120960 241920 0
2 0 5760 80640 276480 0
1 0 40320 322560 0 0
2 0 0 362880 0 0

2 480 31200 201600 129600 0
2 0 14400 184320 164160 0
2 0 5760 167040 190080 0
1 8640 138240 216000 0 0
1 1920 116160 244800 0 0
2 0 60480 302400 0 0
1 0 362880 0 0 0

2 144 10800 147456 204480 0
2 0 8640 120960 233280 0
1 2160 110160 250560 0 0
1 2880 80640 279360 0 0
2 0 40320 322560 0 0
1 0 362880 0 0 0

2 288 9504 90432 262656 0
1 0 90720 272160 0 0
1 2880 60480 299520 0 0
2 0 30240 332640 0 0
1 0 362880 0 0 0

2 2160 79920 280800 0 0
2 0 60480 302400 0 0
1 30240 332640 0 0 0
2 0 362880 0 0 0

2 960 40320 321600 0 0
1 20160 342720 0 0 0
2 0 362880 0 0 0

2 10080 352800 0 0 0
1 362880 0 0 0 0

2 362880 0 0 0 0

